customer_id,segment_name,recency_days,frequency,monetary,ticket_count,return_rate,avg_discount_pct,sessions_30d
CUST00001,Regular Customers,107,6,2955.57,2.0,0.16666666666666666,0.36333333333333334,1
CUST00002,Regular Customers,40,1,581.0,1.0,0.0,0.23,8
CUST00003,At Risk Customers,171,1,649.98,0.0,0.0,0.47,1
CUST00004,At Risk Customers,131,1,1604.04,0.0,0.0,0.16,1
CUST00005,Discount Sensitive,38,4,2550.91,1.0,0.0,0.4425,18
CUST00006,High-Value Unhappy Customers,51,5,3770.16,2.0,0.2,0.358,2
CUST00007,Regular Customers,3,1,719.33,0.0,0.0,0.18,11
CUST00008,Loyal Customers,47,4,2747.33,1.0,0.0,0.2225,2
CUST00009,New Customers,31,1,376.85,0.0,0.0,0.49,11
CUST00010,New Customers,9,1,636.8,0.0,0.0,0.45,13
CUST00011,Regular Customers,1,2,925.0699999999999,0.0,0.0,0.15500000000000003,10
CUST00012,Regular Customers,50,2,2051.63,1.0,0.0,0.29500000000000004,3
CUST00013,Loyal Customers,61,3,1754.44,1.0,0.0,0.23,4
CUST00014,Loyal Customers,51,11,8130.16,2.0,0.0,0.2618181818181818,11
CUST00015,Loyal Customers,35,4,4200.93,0.0,0.0,0.3025,6
CUST00016,Dormant Customers,215,1,478.02,1.0,0.0,0.22,2
CUST00017,At Risk Customers,286,3,1699.1399999999999,0.0,0.0,0.26666666666666666,4
CUST00018,Regular Customers,111,1,329.21,0.0,0.0,0.36,3
CUST00019,Regular Customers,9,2,1598.93,0.0,0.0,0.105,5
CUST00020,High-Value Unhappy Customers,368,3,4487.950000000001,1.0,0.0,0.13,0
CUST00021,Discount Sensitive,77,2,1059.3,1.0,0.0,0.435,3
CUST00022,Regular Customers,29,1,454.06,0.0,0.0,0.31,10
CUST00023,New Customers,21,1,400.98,0.0,0.0,0.25,3
CUST00024,Regular Customers,4,1,481.35,0.0,0.0,0.34,13
CUST00025,Regular Customers,165,7,4868.86,3.0,0.0,0.31142857142857144,11
CUST00026,Loyal Customers,72,3,3561.3900000000003,1.0,0.3333333333333333,0.16333333333333333,14
CUST00027,Regular Customers,70,1,2128.34,1.0,1.0,0.3,11
CUST00028,Regular Customers,83,2,1489.7800000000002,1.0,0.0,0.19,1
CUST00029,Loyal Customers,18,8,5252.9,0.0,0.0,0.23374999999999999,1
CUST00030,Champions,5,6,3435.5899999999997,2.0,0.0,0.34,11
CUST00031,Regular Customers,49,1,672.95,0.0,0.0,0.24,6
CUST00032,Loyal Customers,33,3,1948.75,0.0,0.0,0.3666666666666667,12
CUST00033,Discount Sensitive,12,4,2128.09,2.0,0.5,0.405,7
CUST00034,Loyal Customers,50,6,3353.01,3.0,0.0,0.26166666666666666,7
CUST00035,Regular Customers,127,3,1369.71,0.0,0.0,0.24333333333333332,6
CUST00036,Loyal Customers,27,4,1737.33,1.0,0.25,0.365,0
CUST00037,Regular Customers,102,1,435.83,0.0,0.0,0.43,5
CUST00038,Loyal Customers,51,4,2104.61,1.0,0.0,0.355,5
CUST00039,Loyal Customers,15,3,1598.49,0.0,0.0,0.2966666666666667,6
CUST00040,At Risk Customers,154,1,634.73,1.0,0.0,0.38,1
CUST00041,Loyal Customers,54,4,1911.8600000000001,1.0,0.0,0.3475,5
CUST00042,Loyal Customers,87,9,7523.74,6.0,0.2222222222222222,0.21888888888888888,3
CUST00043,Regular Customers,24,1,363.01,0.0,0.0,0.43,3
CUST00044,Loyal Customers,72,3,2724.09,1.0,0.0,0.38666666666666666,6
CUST00045,Regular Customers,96,1,413.75,0.0,0.0,0.33,6
CUST00046,Regular Customers,127,1,489.87,0.0,0.0,0.13,7
CUST00047,Dormant Customers,204,1,764.43,0.0,0.0,0.16,2
CUST00048,Loyal Customers,61,4,2450.45,1.0,0.25,0.3125,12
CUST00049,New Customers,8,1,380.83,0.0,0.0,0.47,4
CUST00050,Loyal Customers,0,3,2466.39,1.0,0.3333333333333333,0.3333333333333333,3
CUST00051,Regular Customers,210,4,4444.3,2.0,0.0,0.3525,6
CUST00052,Loyal Customers,55,3,2807.14,1.0,0.3333333333333333,0.21,7
CUST00053,High-Value Unhappy Customers,25,4,4192.59,2.0,0.0,0.395,9
CUST00054,New Customers,6,1,489.85,0.0,0.0,0.25,3
